Inicio_Faena;Inicio_Venta;Embarcacion;Marca_Motor;Modelo_Motor;Caballos_Motor;Origen;Origen_Latitud;Origen_Longuitud;Millas_Recorridas;Especie;Aparejo;Volumen_Kg;Talla_cm;Precio_Kg;Venta;Precio_Galon;Costo_Combustible;Ganancia
18 02 2020 10:20;18 02 2020 10:40;EL NEGRO;YAMAHA;YAMAHA E15DMH;15;LA PAMPA;-9.02;-78.63;1.31;LISA;CORTINA;150.00;26.00;2.50;65.00;5.84;0.385660078;64.61
18 02 2020 09:55;18 02 2020 10:15;ARIANITA;BRIGGS STRATTON;BRIGGS STRATTON ZETA;16;LA PAMPA;-9.02;-78.63;1.31;LORNA;CORTINA;120.00;24.00;3.00;72.00;5.84;0.385085894;71.61
18 02 2020 10:00;18 02 2020 10:20;REY DE REYES;YAMAHA;YAMAHA E25DMH;25;LA PAMPA;-9.02;-78.63;1.31;LORNA;CORTINA;120.00;24.00;3.00;72.00;5.84;0.385085894;71.61
18 02 2020 10:20;18 02 2020 10:40;EL NEGRO;YAMAHA;YAMAHA E15DMH;15;LA PAMPA;-9.02;-78.63;1.31;LORNA;CORTINA;180.00;24.00;3.00;72.00;5.84;0.386234262;71.61
19 02 2020 09:10;19 02 2020 09:30;SABINA;LISTER;LISTER TR;90;LA PAMPA;-9.02;-78.63;1.31;CHIRI;CORTINA;30.00;16.00;2.50;40.00;5.84;0.383363343;39.62
19 02 2020 23:30;19 02 2020 23:50;LUCHITO;YAMAHA;YAMAHA E15DMH;15;LA PAMPA;-9.02;-78.63;1.31;COCO;CORTINA;210.00;30.00;13.00;390.00;5.84;0.386808446;389.61
19 02 2020 22:10;19 02 2020 22:40;PAQUIRRI;BRIGGS STRATTON;BRIGGS STRATTON ZETA;16;LA PAMPA;-9.02;-78.63;1.31;LISA;CORTINA;180.00;35.00;2.50;87.50;5.84;0.386234262;87.11
19 02 2020 23:00;19 02 2020 23:15;MICHAEL;YAMAHA;YAMAHA E15DMH;15;LA PAMPA;-9.02;-78.63;1.31;LISA;CORTINA;210.00;35.00;2.50;87.50;5.84;0.386808446;87.11
19 02 2020 23:10;19 02 2020 23:30;NOEMI;YAMAHA;YAMAHA E15DMH;15;LA PAMPA;-9.02;-78.63;1.31;LISA;CORTINA;210.00;35.00;2.50;87.50;5.84;0.386808446;87.11
19 02 2020 23:30;19 02 2020 23:50;LUCHITO;YAMAHA;YAMAHA E15DMH;15;LA PAMPA;-9.02;-78.63;1.31;LISA;CORTINA;30.00;35.00;2.50;87.50;5.84;0.383363343;87.12
20 02 2020 08:00;20 02 2020 08:20;LUCHITO;YAMAHA;YAMAHA E15DMH;15;MOÑAQUE;-9.00;-78.65;4.36;LENGUADO;CORTINA;30.00;21.00;20.00;420.00;5.84;1.274766848;418.73
20 02 2020 09:17;20 02 2020 09:40;THALIA;NISSAN;NISSAN LD;25;LA PAMPA;-9.02;-78.63;1.31;LISA;CORTINA;90.00;36.00;2.50;90.00;5.84;0.384511711;89.62
20 02 2020 10:10;20 02 2020 10:30;REY DE REYES;YAMAHA;YAMAHA E25DMH;25;LA PAMPA;-9.02;-78.63;1.31;LISA;CORTINA;90.00;35.00;2.50;87.50;5.84;0.384511711;87.12
20 02 2020 09:17;20 02 2020 09:40;THALIA;NISSAN;NISSAN LD;25;LA PAMPA;-9.02;-78.63;1.31;LORNA;CORTINA;90.00;26.00;2.00;52.00;5.84;0.384511711;51.62
20 02 2020 10:10;20 02 2020 10:30;REY DE REYES;YAMAHA;YAMAHA E25DMH;25;LA PAMPA;-9.02;-78.63;1.31;LORNA;CORTINA;90.00;26.00;2.00;52.00;5.84;0.384511711;51.62
21 02 2020 08:00;21 02 2020 08:20;LUCHITO;YAMAHA;YAMAHA E15DMH;15;MOÑAQUE;-9.00;-78.65;4.36;LENGUADO;CORTINA;30.00;21.00;20.00;420.00;5.84;1.274766848;418.73
21 02 2020 09:17;21 02 2020 09:40;THALIA;NISSAN;NISSAN LD;25;LA PAMPA;-9.02;-78.63;1.31;LISA;CORTINA;90.00;36.00;2.50;90.00;5.84;0.384511711;89.62
21 02 2020 10:10;21 02 2020 10:30;REY DE REYES;YAMAHA;YAMAHA E25DMH;25;LA PAMPA;-9.02;-78.63;1.31;LISA;CORTINA;90.00;35.00;2.50;87.50;5.84;0.384511711;87.12
21 02 2020 09:17;21 02 2020 09:40;THALIA;NISSAN;NISSAN LD;25;LA PAMPA;-9.02;-78.63;1.31;LORNA;CORTINA;90.00;26.00;2.00;52.00;5.84;0.384511711;51.62
21 02 2020 10:10;21 02 2020 10:30;REY DE REYES;YAMAHA;YAMAHA E25DMH;25;LA PAMPA;-9.02;-78.63;1.31;LORNA;CORTINA;90.00;26.00;2.00;52.00;5.84;0.384511711;51.62
24 02 2020 08:36;24 02 2020 08:56;LUCHITO;YAMAHA;YAMAHA E15DMH;15;MOÑAQUE;-9.00;-78.65;4.36;CHIRI;CORTINA;120.00;20.00;2.00;40.00;5.84;1.280494707;38.72
24 02 2020 08:50;24 02 2020 09:20;PAQUIRRI;BRIGGS STRATTON;BRIGGS STRATTON ZETA;16;MOÑAQUE;-9.00;-78.65;4.36;CHIRI;CORTINA;120.00;20.00;2.00;40.00;5.84;1.280494707;38.72
24 02 2020 11:23;24 02 2020 11:48;JEREMIAS;YAMAHA;YAMAHA E15DMH;15;MOÑAQUE;-9.00;-78.65;4.36;LISA;CORTINA;120.00;29.00;2.50;72.50;5.84;1.280494707;71.22
24 02 2020 19:45;24 02 2020 20:00;NANCY;PANTHER;PANTHER 190F;10;MOÑAQUE;-9.00;-78.65;4.36;LISA;CORTINA;150.00;29.00;2.50;72.50;5.84;1.282403993;71.22
24 02 2020 20:07;24 02 2020 20:32;MI PAUL;YAMAHA;YAMAHA E15DMH;15;MOÑAQUE;-9.00;-78.65;4.36;LISA;CORTINA;150.00;29.00;2.50;72.50;5.84;1.282403993;71.22
24 02 2020 20:31;24 02 2020 20:51;REY DE REYES;YAMAHA;YAMAHA E25DMH;25;MOÑAQUE;-9.00;-78.65;4.36;LISA;CORTINA;150.00;29.00;2.50;72.50;5.84;1.282403993;71.22
25 02 2020 11:00;25 02 2020 11:30;PIERO;BRIGGS STRATTON;BRIGGS STRATTON ZETA;16;MOÑAQUE;-9.00;-78.65;4.36;CHIRI;CORTINA;90.00;21.00;2.00;42.00;5.82;1.274206703;40.73
25 02 2020 09:35;25 02 2020 09:50;NANCY;PANTHER;PANTHER 190F;10;MOÑAQUE;-9.00;-78.65;4.36;LISA;CORTINA;120.00;29.00;3.00;87.00;5.82;1.276109451;85.72
25 02 2020 10:05;25 02 2020 10:25;REY DE REYES;YAMAHA;YAMAHA E25DMH;25;MOÑAQUE;-9.00;-78.65;4.36;LISA;CORTINA;120.00;29.00;3.00;87.00;5.82;1.276109451;85.72
